1017,A,"A Dolphin",0,0
1018,A,"A Blue Whale",0,0
1019,A,"A Sea Turtle",0,0
1020,A,"A Cow",0,0
1021,A,"A Sheep",0,0
1022,A,"A Horse",0,0
1023,A,"A Lion",0,0
1024,A,"A Bear",0,0
1025,A,"A Bald Eagle",0,0
1026,A,"An Ostrich",0,0
1027,A,"A Snake",0,0
1028,A,"A T-Rex",0,0
1029,A,"A Bee",0,0
1030,A,"A Spider",0,0
1031,A,"An Oak Tree",0,0
1032,A,"A Pine Tree",0,0
1033,A,"A Rose",0,0
1034,A,"A Carrot",0,0
1035,A,"Lettuce",0,0
1036,A,"A Banana",0,0
1037,A,"A Strawberry",0,0
1038,A,"An Apple",0,0
1039,A,"A Mushroom",0,0
1040,A,"A Flipper Zero",0,0
1041,A,"A Smartphone",0,0
1042,A,"A TV Remote",0,0
1043,A,"A Game Console",0,0
1044,A,"A Camera",0,0
1045,A,"A Desktop Computer",0,0
1046,A,"A Television",0,0
1047,A,"A Refrigerator",0,0
1048,A,"A Car",0,0
1049,A,"An Airplane",0,0
1050,A,"A Boat",0,0
1051,A,"A Knife",0,0
1052,A,"A Hammer",0,0
1053,A,"A Screwdriver",0,0
1054,A,"A Chair",0,0
1055,A,"A Bed",0,0
1056,A,"A Table",0,0
1057,A,"A Shoe",0,0
1058,A,"A Hat",0,0
1059,A,"A T-Shirt",0,0
1060,A,"The Eiffel Tower",0,0
1061,A,"The Statue of Liberty",0,0
1062,A,"A Pizza",0,0
1063,A,"A Hamburger",0,0
1064,A,"Sand",0,0
1065,A,"A Diamond",0,0
1066,A,"A Rock",0,0
1067,A,"A Cloud",0,0
1068,A,"A Snowflake",0,0
1069,A,"The Sun",0,0
1070,A,"The Moon",0,0
1071,A,"The Planet Mars",0,0
1072,A,"Love",0,0
1073,A,"Time",0,0
1074,Q,"Does it live in a shell it can retract into?",1075,1076
1075,A,"A Snail",0,0
1076,A,"A Lobster",0,0
1077,Q,"Is it known for its large size and slow movement?",1078,0
1078,A,"A Manatee",0,0
1080,Q,"Is it the largest animal on Earth?",1018,63
